Taxa	Coverage-Of-All-Bams	"Bams(A list of bams of the taxon, seperated by the delimiter of Tab)"
CS	3.0	/data3/wgs/bam/ABD/CS.rmdup.bam
TW0001	3.506	/data3/wgs/bam/ABD/TW0001.rmdup.bam
TW0002	4.323	/data3/wgs/bam/ABD/TW0002.rmdup.bam
TW0003	4.438	/data3/wgs/bam/ABD/TW0003.rmdup.bam
TW0004	4.327	/data3/wgs/bam/ABD/TW0004.rmdup.bam
TW0005	2.901	/data3/wgs/bam/ABD/TW0005.rmdup.bam
TW0006	3.483	/data3/wgs/bam/ABD/TW0006.rmdup.bam
TW0007	4.177	/data3/wgs/bam/ABD/TW0007.rmdup.bam
TW0008	3.362	/data3/wgs/bam/ABD/TW0008.rmdup.bam
TW0009	5.35	/data3/wgs/bam/ABD/TW0009.rmdup.bam
TW0010	3.863	/data3/wgs/bam/ABD/TW0010.rmdup.bam
TW0011	4.199	/data3/wgs/bam/ABD/TW0011.rmdup.bam
TW0012	3.309	/data3/wgs/bam/ABD/TW0012.rmdup.bam
TW0013	2.936	/data3/wgs/bam/ABD/TW0013.rmdup.bam
TW0014	3.396	/data3/wgs/bam/ABD/TW0014.rmdup.bam
TW0015	3.963	/data3/wgs/bam/ABD/TW0015.rmdup.bam
TW0016	4.614	/data3/wgs/bam/ABD/TW0016.rmdup.bam
TW0017	3.313	/data3/wgs/bam/ABD/TW0017.rmdup.bam
TW0018	3.394	/data3/wgs/bam/ABD/TW0018.rmdup.bam
TW0019	3.257	/data3/wgs/bam/ABD/TW0019.rmdup.bam
TW0020	4.461	/data3/wgs/bam/ABD/TW0020.rmdup.bam
TW0021	3.406	/data3/wgs/bam/ABD/TW0021.rmdup.bam
TW0022	3.43	/data3/wgs/bam/ABD/TW0022.rmdup.bam
TW0023	3.617	/data3/wgs/bam/ABD/TW0023.rmdup.bam
TW0024	4.113	/data3/wgs/bam/ABD/TW0024.rmdup.bam
TW0025	4.329	/data3/wgs/bam/ABD/TW0025.rmdup.bam
TW0026	3.432	/data3/wgs/bam/ABD/TW0026.rmdup.bam
TW0027	3.552	/data3/wgs/bam/ABD/TW0027.rmdup.bam
TW0028	5.891	/data3/wgs/bam/ABD/TW0028.rmdup.bam
TW0029	3.334	/data3/wgs/bam/ABD/TW0029.rmdup.bam
TW0030	3.598	/data3/wgs/bam/ABD/TW0030.rmdup.bam
TW0031	3.401	/data3/wgs/bam/ABD/TW0031.rmdup.bam
TW0032	3.589	/data3/wgs/bam/ABD/TW0032.rmdup.bam
TW0033	4.213	/data3/wgs/bam/ABD/TW0033.rmdup.bam
TW0034	3.11	/data3/wgs/bam/ABD/TW0034.rmdup.bam
TW0035	3.395	/data3/wgs/bam/ABD/TW0035.rmdup.bam
TW0036	3.37	/data3/wgs/bam/ABD/TW0036.rmdup.bam
TW0037	3.375	/data3/wgs/bam/ABD/TW0037.rmdup.bam
TW0038	3.339	/data3/wgs/bam/ABD/TW0038.rmdup.bam
TW0039	3.458	/data3/wgs/bam/ABD/TW0039.rmdup.bam
TW0040	3.344	/data3/wgs/bam/ABD/TW0040.rmdup.bam
TW0041	3.432	/data3/wgs/bam/ABD/TW0041.rmdup.bam
TW0042	3.665	/data3/wgs/bam/ABD/TW0042.rmdup.bam
TW0043	3.545	/data3/wgs/bam/ABD/TW0043.rmdup.bam
TW0044	4.691	/data3/wgs/bam/ABD/TW0044.rmdup.bam
TW0045	3.740	/data3/wgs/bam/ABD/TW0045.rmdup.bam
TW0046	3.451	/data3/wgs/bam/ABD/TW0046.rmdup.bam
TW0047	3.048	/data3/wgs/bam/ABD/TW0047.rmdup.bam
TW0048	3.588	/data3/wgs/bam/ABD/TW0048.rmdup.bam
TW0049	3.559	/data3/wgs/bam/ABD/TW0049.rmdup.bam
TW0050	4.99	/data3/wgs/bam/ABD/TW0050.rmdup.bam
TW0051	5.026	/data3/wgs/bam/ABD/TW0051.rmdup.bam
TW0052	4.380	/data3/wgs/bam/ABD/TW0052.rmdup.bam
TW0053	4.138	/data3/wgs/bam/ABD/TW0053.rmdup.bam
TW0054	3.716	/data3/wgs/bam/ABD/TW0054.rmdup.bam
TW0055	11.383	/data3/wgs/bam/ABD/TW0055.rmdup.bam
TW0056	11.065	/data3/wgs/bam/ABD/TW0056.rmdup.bam
TW0057	11.508	/data3/wgs/bam/ABD/TW0057.rmdup.bam
TW0058	10.962	/data3/wgs/bam/ABD/TW0058.rmdup.bam
TW0059	10.979	/data3/wgs/bam/ABD/TW0059.rmdup.bam
TW0060	11.278	/data3/wgs/bam/ABD/TW0060.rmdup.bam
TW0061	11.893	/data3/wgs/bam/ABD/TW0061.rmdup.bam
TW0062	10.979	/data3/wgs/bam/ABD/TW0062.rmdup.bam
TW0063	12.735	/data3/wgs/bam/ABD/TW0063.rmdup.bam
TW0064	11.474	/data3/wgs/bam/ABD/TW0064.rmdup.bam
TW0065	11.222	/data3/wgs/bam/ABD/TW0065.rmdup.bam
TW0066	11.152	/data3/wgs/bam/ABD/TW0066.rmdup.bam
TW0067	11.124	/data3/wgs/bam/ABD/TW0067.rmdup.bam
TW0068	11.085	/data3/wgs/bam/ABD/TW0068.rmdup.bam
TW0069	10.953	/data3/wgs/bam/ABD/TW0069.rmdup.bam
TW0070	11.316	/data3/wgs/bam/ABD/TW0070.rmdup.bam
TW0071	11.663	/data3/wgs/bam/ABD/TW0071.rmdup.bam
TW0072	11.028	/data3/wgs/bam/ABD/TW0072.rmdup.bam
TW0073	11.118	/data3/wgs/bam/ABD/TW0073.rmdup.bam
TW0074	12.079	/data3/wgs/bam/ABD/TW0074.rmdup.bam
TW0075	11.528	/data3/wgs/bam/ABD/TW0075.rmdup.bam
TW0076	11.538	/data3/wgs/bam/ABD/TW0076.rmdup.bam
TW0077	11.274	/data3/wgs/bam/ABD/TW0077.rmdup.bam
TW0078	11.303	/data3/wgs/bam/ABD/TW0078.rmdup.bam
TW0079	12.461	/data3/wgs/bam/ABD/TW0079.rmdup.bam
TW0080	11.102	/data3/wgs/bam/ABD/TW0080.rmdup.bam
TW0081	11.092	/data3/wgs/bam/ABD/TW0081.rmdup.bam
TW0082	11.375	/data3/wgs/bam/ABD/TW0082.rmdup.bam
TW0083	11.466	/data3/wgs/bam/ABD/TW0083.rmdup.bam
TW0084	11.289	/data3/wgs/bam/ABD/TW0084.rmdup.bam
TW0085	11.144	/data3/wgs/bam/ABD/TW0085.rmdup.bam
TW0086	11.581	/data3/wgs/bam/ABD/TW0086.rmdup.bam
TW0087	11.543	/data3/wgs/bam/ABD/TW0087.rmdup.bam
TW0088	11.366	/data3/wgs/bam/ABD/TW0088.rmdup.bam
TW0089	12.168	/data3/wgs/bam/ABD/TW0089.rmdup.bam
TW0090	11.129	/data3/wgs/bam/ABD/TW0090.rmdup.bam
TW0091	11.217	/data3/wgs/bam/ABD/TW0091.rmdup.bam
TW0092	11.142	/data3/wgs/bam/ABD/TW0092.rmdup.bam
TW0093	10.953	/data3/wgs/bam/ABD/TW0093.rmdup.bam
TW0094	11.3	/data3/wgs/bam/ABD/TW0094.rmdup.bam
TW0095	11.237	/data3/wgs/bam/ABD/TW0095.rmdup.bam
TW0096	12.262	/data3/wgs/bam/ABD/TW0096.rmdup.bam
TW0097	11.213	/data3/wgs/bam/ABD/TW0097.rmdup.bam
TW0098	11.267	/data3/wgs/bam/ABD/TW0098.rmdup.bam
TW0099	11.36	/data3/wgs/bam/ABD/TW0099.rmdup.bam
TW0100	10.928	/data3/wgs/bam/ABD/TW0100.rmdup.bam
TW0101	11.668	/data3/wgs/bam/ABD/TW0101.rmdup.bam
TW0102	11.816	/data3/wgs/bam/ABD/TW0102.rmdup.bam
TW0103	11.151	/data3/wgs/bam/ABD/TW0103.rmdup.bam
TW0104	10.982	/data3/wgs/bam/ABD/TW0104.rmdup.bam
TW0105	11.046	/data3/wgs/bam/ABD/TW0105.rmdup.bam
TW0106	11.252	/data3/wgs/bam/ABD/TW0106.rmdup.bam
TW0107	10.962	/data3/wgs/bam/ABD/TW0107.rmdup.bam
TW0108	11.174	/data3/wgs/bam/ABD/TW0108.rmdup.bam
TW0109	11.08	/data3/wgs/bam/ABD/TW0109.rmdup.bam
TW0110	11.017	/data3/wgs/bam/ABD/TW0110.rmdup.bam
TW0111	11.165	/data3/wgs/bam/ABD/TW0111.rmdup.bam
